Title,Genre,Rating,Voting,Duration
Tayna Chyornoy Ruki,Adventure,5.7,0,84
The Last Five Days: The Freak Building,Adventure,3.8,0,61
The Ballad of Straw Hat Sam,Adventure,9.2,0,0
YA - medved,Adventure,4.9,0,97
The Bigfoot Prophecy,Adventure,4.5,0,117
Chhota Bheem and the Curse of Damyaan,Adventure,4.8,0,145
Novyy god v Beryozovke,Adventure,7.1,0,94
Mesken (Messuage),Adventure,7.5,0,102
Luccas e Gi em: Dinossauros,Adventure,3.5,0,91
Ngesot,Adventure,4.8,0,87
Anytime,Adventure,8.9,0,62
Mukhadrakon,Adventure,5.3,0,109
Dracu Ra,Adventure,5.5,0,106
Turbozavry. God drakona,Adventure,9.2,0,0
Abar Arownne Din Ratri,Adventure,7.8,0,111
Wilhelm Gustloff,Adventure,8.7,0,110
Il ricercatore,Adventure,5.8,0,71
Bremenskie muzykanty,Adventure,4.6,0,115
Mai Martaba,Adventure,4.8,0,86
Moy lyubimyy chempion,Adventure,2.3,0,95
Banana Boat,Adventure,5.7,0,78
Pirates & Slaves,Adventure,5.8,0,0
Suchana,Adventure,9.0,0,90
Let's Go! Anpanman: Baikinman and Lulun,Adventure,6.5,0,64
The Kingfish 2,Adventure,7.9,0,72
V potoke trekh stikhiy,Adventure,5.3,0,85
Boom!,Adventure,8.3,0,90
"Poymay sobaku, esli smozhesh",Adventure,3.5,0,96
No More Trouble - Cosa rimane di una tempesta,Adventure,8.4,0,97
Skazochnyy patrul. Shou prodolzhayetsya,Adventure,7.2,0,65
Piri Reis: The Incredible Chart,Adventure,6.8,0,138
Isle: Alpha One,Adventure,8.4,0,97
Suvorovets 1944,Adventure,5.6,0,90
Kyle and the Last Emerald 2,Adventure,8.4,0,0
Selebryata,Adventure,3.6,0,93
I'm Professional,Adventure,3.7,0,95
Colour Palette,Adventure,9.0,0,87
LUDA,Adventure,7.2,0,86
Whites Only: Ade's Extremist Adventure,Adventure,7.0,0,65
Dandelion,Adventure,8.9,0,95
Applepictures the Poseidon Legacy,Adventure,6.4,0,84
StarGazer: The Need of the Many,Adventure,5.0,0,0
The Blinkless,Adventure,7.8,0,0
PW V: Tears of the Fallen,Adventure,8.2,0,60
Beyaz Zenciler: Yapim Asamasi,Adventure,8.6,0,0
Gostya iz kosmosa,Adventure,8.5,0,70
Okhota na russkogo geniya,Adventure,2.6,0,71
Sehnsucht nach Firdaws,Adventure,8.5,0,103
Lajjpal,Adventure,9.0,0,252
A Complete Unknown,Biography,7.4,0,141
I'm Still Here,Biography,8.4,0,137
Queen of the Ring,Biography,7.0,0,140
The Apprentice,Biography,7.1,0,122
William Tell,Biography,5.7,0,133
Better Man,Biography,7.6,0,135
Saturday Night,Biography,6.9,0,109
Queer,Biography,6.5,0,137
Maria,Biography,6.4,0,124
Reagan,Biography,6.2,0,141
Nr. 24,Biography,7.5,0,111
Bonhoeffer: Pastor. Spy. Assassin.,Biography,6.3,0,133
Unfrosted,Biography,5.5,0,97
The Fire Inside,Biography,6.7,0,109
Ordinary Angels,Biography,7.4,0,118
Back to Black,Biography,6.3,0,122
Young Woman and the Sea,Biography,7.5,0,129
Joy,Biography,7.1,0,115
Faith of Angels,Biography,5.9,0,98
Winner,Biography,6.5,0,103
Audrey's Children,Biography,8.6,0,110
Bob Marley: One Love,Biography,6.2,0,107
Piece by Piece,Biography,6.9,0,93
Cabrini,Biography,7.3,0,142
Rob Peace,Biography,6.6,0,120
Scoop,Biography,6.5,0,102
The Remarkable Life of Ibelin,Biography,8.2,0,103
Being Maria,Biography,6.1,0,100
Midas Man,Biography,6.4,0,112
Monsieur Aznavour,Biography,7.3,0,133
Amaran,Biography,8.2,0,167
Super/Man: The Christopher Reeve Story,Biography,8.0,0,104
One to One: John & Yoko,Biography,6.8,0,100
Maharaj,Biography,6.5,0,131
Harbin,Biography,6.5,0,108
Chhava,Biography,8.6,0,0
Goebbels and the Führer,Biography,6.7,0,135
"From Hilde, with Love",Biography,6.9,0,125
El 47,Biography,7.2,0,110
Boléro,Biography,6.6,0,120
Luther: Never Too Much,Biography,8.2,0,101
Shirley,Biography,6.2,0,117
Race for Glory: Audi vs. Lancia,Biography,5.8,0,109
Papa,Biography,7.5,0,131
Ravens,Biography,8.3,0,117
Niki,Biography,5.9,0,98
Cookster: The Darkest Days,Biography,8.4,0,119
Amar Singh Chamkila,Biography,7.8,0,145
Avicii - I'm Tim,Biography,7.8,0,95
Freedom,Biography,5.9,0,110
Srikanth,Biography,7.4,0,134
Liza: A Truly Terrific Absolutely True Story,Biography,8.2,0,104
The Firing Squad,Biography,5.4,0,93
The Ballad of Davy Crockett,Biography,4.6,0,96
Elton John: Never Too Late,Biography,6.5,0,102
Limonov: The Ballad of Eddie,Biography,6.0,0,138
Biggest Heist Ever,Biography,6.1,0,85
Pavements,Biography,7.1,0,128
Quisling: The Final Days,Biography,7.1,0,146
Music by John Williams,Biography,8.2,0,105
Saint-Exupéry,Biography,5.5,0,98
Chandu Champion,Biography,7.8,0,142
Riefenstahl,Biography,7.2,0,115
Jim Henson: Idea Man,Biography,7.7,0,111
The Bibi Files,Biography,7.5,0,115
Prodigieuses,Biography,6.6,0,101
Drazen,Biography,6.6,0,100
Atatürk II: 1881-1919,Biography,8.9,0,141
Maidaan,Biography,7.9,0,181
The Shamrock Spitfire,Biography,5.1,0,108
Gundi: Legend of Love,Biography,9.0,0,166
I Am: Celine Dion,Biography,7.7,0,103
ZEF: The Story of Die Antwoord,Biography,7.4,0,90
"Sarah Bernhardt, la divine",Biography,6.1,0,98
Becoming Hitchcock: The Legacy of Blackmail,Biography,7.3,0,72
The Beach Boys,Biography,7.1,0,113
Spyral,Biography,8.6,0,83
The Great Ambition,Biography,7.2,0,123
Never Look Away,Biography,7.2,0,85
John Cranko,Biography,7.1,0,133
Samia,Biography,6.9,0,102
"Disco, Ibiza, Locomia",Biography,6.0,0,104
The Sidemen Story,Biography,6.7,0,99
Stelios,Biography,7.3,0,132
Beautiful Rebel,Biography,6.3,0,112
Oxana,Biography,8.2,0,103
Becoming Madonna,Biography,6.9,0,91
La casa,Biography,7.0,0,83
Faye,Biography,7.1,0,91
The Truth vs. Alex Jones,Biography,7.5,0,121
Janis Ian: Breaking Silence,Biography,8.6,0,114
Diddy: Summit to Plummet,Biography,2.2,0,60
Federer: Twelve Final Days,Biography,7.3,0,88
The Life and Deaths of Christopher Lee,Biography,7.2,0,99
Simona Kossak,Biography,6.1,0,100
Nahir,Biography,4.7,0,122
Blue Road: The Edna O'Brien Story,Biography,8.2,0,99
Swatantrya Veer Savarkar,Biography,7.7,0,176
National Theatre Live: Nye,Biography,8.0,0,160
Vindication Swim,Biography,6.0,0,98
Havnaa,Biography,7.3,0,110
Road Diary: Bruce Springsteen and the E Street Band,Biography,7.7,0,99
La Grande,Biography,8.8,0,95
Lula,Biography,5.5,0,90
Silvio,Biography,3.0,0,114
Chhatrapati Sambhaji,Biography,5.6,0,186
Laura,Biography,6.5,0,104
Bogart: Life Comes in Flashes,Biography,6.9,0,99
From Roger Moore with Love,Biography,7.4,0,79
Tears of Cem Karaca,Biography,7.2,0,123
Miséria,Biography,5.3,0,99
Fanon,Biography,8.9,0,132
Sabbath Queen,Biography,8.0,0,105
House of Ga'a,Biography,3.9,0,119
Patrice: The Movie,Biography,8.3,0,102
Nedelja,Biography,7.2,0,130
Karina,Biography,6.9,0,91
Klitschko: More Than a Fight,Biography,6.3,0,96
Kulej. Dwie strony medalu,Biography,6.4,0,148
"Carville: Winning Is Everything, Stupid",Biography,7.2,0,98
Marcella,Biography,9.5,0,97
Saint Nick of Bethlehem,Biography,9.3,0,93
Ennio Doris - C'è anche domani,Biography,5.3,0,90
Levoton Tuhkimo,Biography,6.4,0,88
Funmilayo Ransome-Kuti,Biography,8.5,0,91
The Man Who Loved UFOs,Biography,5.2,0,107
Bir Cumhuriyet Sarkisi,Biography,7.7,0,128
Glenn Fredly: The Movie,Biography,6.8,0,121
Madu,Biography,5.4,0,100
Hayatla Baris,Biography,6.3,0,125
Münter & Kandinsky,Biography,6.6,0,126
Joachim and the Apocalypse,Biography,7.2,0,90
Hola Frida,Biography,7.4,0,82
Ae Watan Mere Watan,Biography,4.7,0,133
Obraz,Biography,7.6,0,95
Yatra 2,Biography,6.3,0,132
Satyashodhak,Biography,8.4,0,145
Stevie Van Zandt: Disciple,Biography,7.9,0,147
Nasty,Biography,7.8,0,103
Go Against the Flow,Biography,5.3,0,97
"Iki Gözüm Ahmet, Sürgün",Biography,3.8,0,113
Diane von Furstenberg: Woman in Charge,Biography,7.2,0,97
God Be with Us,Biography,6.8,0,90
Komandir,Biography,6.3,0,131
Padatik,Biography,8.4,0,126
Faruk,Biography,6.6,0,97
Wingless,Biography,7.7,0,110
Daytime Revolution,Biography,6.9,0,108
Jenni,Biography,6.6,0,113
Miyazaki: L'Esprit de la Nature,Biography,7.2,0,84
Blood'less' Revolution,Biography,6.7,0,103
Mit einem Tiger schlafen,Biography,6.8,0,107
Inexplicável,Biography,6.8,0,116
Rock Bottom,Biography,7.0,0,86
Vivekam,Biography,8.2,0,104
Sadik Ahmet,Biography,7.7,0,125
Hyper: The Stevie Hyper D Story,Biography,8.8,0,91
Chabuca,Biography,6.7,0,113
Memoir Seorang Guru,Biography,7.1,0,120
Taghiev: Oil,Biography,9.0,0,120
Hope of Escape,Biography,7.6,0,91
Main Atal Hoon,Biography,6.9,0,139
Pastor's Kid,Biography,6.5,0,90
Sharon Stone: Survival Instinct,Biography,7.0,0,0
Looking for Simone,Biography,6.8,0,93
The World According to Allee Willis,Biography,8.0,0,97
Bach - Ein Weihnachtswunder,Biography,6.2,0,89
Pod szarym niebem,Biography,7.1,0,81
The Movie Man,Biography,7.7,0,89
Gary,Biography,6.6,0,91
Gold,Biography,7.8,0,126
The Legend of Sudarshan Chakra,Biography,9.3,0,160
Born to Be Wild: The Story of Steppenwolf,Biography,7.2,0,100
Harimau Malaya: The Untold Journey,Biography,8.2,0,125
Raghuveer,Biography,8.9,0,125
Parviz Khan,Biography,6.0,0,110
Dharmaveer 2,Biography,5.5,0,130
Cartas Telepáticas,Biography,5.9,0,70
Suzzanna: The Queen of Black Magic,Biography,6.6,0,88
Ruki vverkh!,Biography,5.5,0,102
Manyam Dheerudu,Biography,5.6,0,114
Padu,Biography,5.1,0,97
Fedya. Narodnyy futbolist,Biography,6.0,0,125
Zuckerberg: King of the Metaverse,Biography,5.7,0,90
Der Soldat Monika,Biography,7.2,0,109
Shahid,Biography,6.5,0,84
Knockout Blonde: The Kellie Maloney Story,Biography,5.9,0,90
Beethoven's Nine: Ode to Humanity,Biography,6.9,0,85
Powstaniec 1863,Biography,5.4,0,115
Not Taken: Origins,Biography,9.8,0,69
Michael Jackson: Ungloved,Biography,6.3,0,60
La Joia: Bad Gyal,Biography,5.8,0,92
Ett hjärta är alltid rött,Biography,7.1,0,103
The Ballad of Suzanne Césaire,Biography,5.9,0,75
Il était une fois Michel Legrand,Biography,8.0,0,109
Son Sarki: Ahmet'in Türküsü,Biography,1.6,0,101
Shaking It Up: The Life and Times of Liz Carpenter,Biography,8.2,0,77
Who Killed Lawrence of Arabia?,Biography,6.5,0,100
Charmian Clift: Life Burns High,Biography,7.9,0,80
Nonkonform,Biography,7.9,0,117
A nuestros amigos,Biography,8.0,0,90
A dangerous boy,Biography,6.9,0,90
"Marisol, llámame Pepa",Biography,6.8,0,87
COMA,Biography,9.5,0,80
Lulu in Turin,Biography,8.5,0,76
"Jacques Demy, le rose et le noir",Biography,7.1,0,88
Paul Anka: His Way,Biography,7.0,0,100
Yaremchuk: Nezrivniannyi svit krasy,Biography,8.6,0,92
Niepewnosc,Biography,3.6,0,113
Maurice And I,Biography,8.8,0,98
"Kati: Eine Kür, die bleibt",Biography,6.1,0,99
Concepción,Biography,7.3,0,0
The Truth: The Journey Within,Biography,7.2,0,91
Ray of Hope,Biography,7.0,0,105
Golpe a Golpe (Blow by Blow),Biography,8.3,0,90
Main Mulayam Singh Yadav,Biography,3.8,0,120
Lafran,Biography,8.2,0,99
Harta Tahta Raisa,Biography,4.0,0,110
9 sekund,Biography,4.6,0,91
Soares é Fixe,Biography,4.8,0,83
Rhythm of a Flower,Biography,7.3,0,81
Riv i hjertet,Biography,7.8,0,107
"François Truffaut, le scénario de ma vie",Biography,6.8,0,98
La valanga azzurra,Biography,7.6,0,90
All Access to Rossa 25 Shining Years,Biography,8.7,0,91
Il ricercatore,Biography,5.8,0,71
It'll Never Work,Biography,9.6,0,0
Waldo,Biography,6.6,0,104
Im Schatten der Träume,Biography,8.2,0,90
Janet Jackson: In Control,Biography,5.5,0,60
"Sean Penn, L'enfant terrible de l'Amérique",Biography,7.3,0,0
"Steven Spielberg, l'homme et l'enfant",Biography,6.2,0,0
Beethoven's Nine,Biography,7.6,0,90
Insula Fondane (Fondane Island),Biography,9.6,0,82
Don't Ever Stop,Biography,9.3,0,85
Barnen från Camp Ashraf,Biography,5.4,0,88
"Mary, Marianna, Maria: Ta agnosta ellinika hronia tis Kallas",Biography,8.2,0,103
No More Trouble - Cosa rimane di una tempesta,Biography,8.4,0,97
Nebesko,Biography,5.2,0,73
Maria,Biography,4.2,0,60
Carles Sabater. No espereu res de mi,Biography,8.1,0,75
87 Candles,Biography,8.9,0,0
The Ballad of John and Yoko,Biography,8.4,0,101
Nollbudget,Biography,8.3,0,72
Reba McEntire: Country Gold,Biography,7.4,0,60
Palace Guardians,Biography,9.4,0,64
Me Dicen El Panzer,Biography,6.6,0,90
Toquinho: Encontros e um Violão,Biography,8.6,0,90
O familie aproape perfecta,Biography,5.4,0,88
Brev til Håkon Banken,Biography,8.1,0,80
Graciano Rocchigiani - Das Herz eines Boxers,Biography,9.2,0,123
"Lupicinio Rodrigues, Confissões de um Sofredor",Biography,7.0,0,99
Veljko od mora,Biography,7.2,0,0
Tapes of Revolution,Biography,9.5,0,75
"Georges Pompidou, la cruauté du pouvoir",Biography,6.2,0,104
Beyaz Zenciler: Yapim Asamasi,Biography,8.6,0,0
Giannis Spanos: Piso ap' ti markiza,Biography,7.8,0,118
¡Qué suerte hemos tenido!,Biography,7.5,0,62
Gevart,Biography,7.3,0,0
Davaj Paradiso,Biography,9.1,0,63
Emilia Pérez,crime,5.4,0,132
Trap,crime,5.8,0,105
Longlegs,crime,6.6,0,101
Pushpa: The Rule - Part 2,crime,6.1,0,201
The Order,crime,6.8,0,116
Juror #2,crime,7.0,0,114
Despicable Me 4,crime,6.2,0,94
Riff Raff,crime,5.9,0,103
MaXXXine,crime,6.3,0,103
The Beekeeper,crime,6.3,0,105
Carry-On,crime,6.5,0,119
Marco,crime,6.9,0,145
Rebel Ridge,crime,6.8,0,131
Wolfs,crime,6.5,0,108
The Crow,crime,4.7,0,111
The Seed of the Sacred Fig,crime,7.6,0,167
Bad Boys: Ride or Die,crime,6.5,0,115
Love Lies Bleeding,crime,6.6,0,104
Lucky Baskhar,crime,8.0,0,148
Monkey Man,crime,6.8,0,121
Freaky Tales,crime,6.5,0,106
Greedy People,crime,6.2,0,112
Jönssonligan kommer tillbaka,crime,6.0,0,104
Absolution,crime,5.2,0,112
Sleeping Dogs,crime,6.2,0,110
The Instigators,crime,6.2,0,101
Lift,crime,5.5,0,107
Beverly Hills Cop: Axel F,crime,6.4,0,118
Hitpig,crime,5.1,0,86
The Silent Hour,crime,6.1,0,99
Maharaja,crime,8.4,0,141
Beating Hearts,crime,7.0,0,166
Misericordia,crime,6.9,0,104
Brothers,crime,5.4,0,89
Killer Heat,crime,5.6,0,95
Long Gone Heroes,crime,5.2,0,101
Force of Nature: The Dry 2,crime,5.9,0,120
The Shadow Strays,crime,6.5,0,144
Armor,crime,3.5,0,89
Trigger Warning,crime,4.6,0,106
Blackwater Lane,crime,4.6,0,108
Twilight of the Warriors: Walled In,crime,7.0,0,126
Boneyard,crime,4.1,0,96
The Thicket,crime,5.8,0,108
The Calendar Killer,crime,5.4,0,97
Santosh,crime,7.0,0,128
The Unholy Trinity,crime,7.9,0,93
Inside,crime,7.0,0,104
Mea Culpa,crime,4.2,0,120
Megamind vs. The Doom Syndicate,crime,2.5,0,83
Dead Sea,crime,5.3,0,88
Sector 36,crime,7.1,0,123
Damaged,crime,4.7,0,97
Colors of Evil: Red,crime,6.4,0,111
Trouble,crime,6.2,0,98
Faultline,crime,5.8,0,92
"I, the Executioner",crime,6.3,0,118
Code 8: Part II,crime,5.7,0,100
Depravity,crime,4.3,0,117
Bogota: City of the Lost,crime,5.4,0,108
City Hunter,crime,6.3,0,102
Drugstore June,crime,5.4,0,91
Maharaj,crime,6.5,0,131
Lake George,crime,6.3,0,118
Duchess,crime,4.6,0,114
Harbin,crime,6.5,0,108
Do Patti,crime,6.4,0,126
Detained,crime,4.9,0,97
Badland Hunters,crime,5.9,0,107
The Courier,crime,6.0,0,101
The Soul Eater,crime,5.9,0,108
Sikandar Ka Muqaddar,crime,6.0,0,142
Broken Rage,crime,6.1,0,62
The Roundup: Punishment,crime,6.6,0,109
Here Now,crime,4.9,0,118
Marmalade,crime,6.2,0,99
Raayan,crime,6.5,0,145
What Jennifer Did,crime,6.1,0,87
First Shift,crime,4.5,0,89
El Jockey,crime,6.5,0,96
Lover Stalker Killer,crime,7.0,0,90
Barron's Cove,crime,8.0,0,116
Ride,crime,5.9,0,114
Golam,crime,7.2,0,120
Laws of Man,crime,4.1,0,98
Officer Black Belt,crime,6.8,0,108
Strictly Confidential,crime,2.8,0,94
The Quiet Ones,crime,6.5,0,110
Darkness of Man,crime,4.8,0,109
Rats!,crime,7.9,0,85
Justice,crime,6.3,0,113
Cult Killer,crime,4.8,0,105
In Her Place,crime,6.2,0,96
Bougainvillea,crime,6.4,0,138
A Place Called Silence,crime,6.5,0,119
Papa,crime,7.5,0,131
The Trainer,crime,7.0,0,95
Pani,crime,6.9,0,143
The Thundermans Return,crime,5.0,0,70
Cookster: The Darkest Days,crime,8.4,0,119
Crescent City,crime,3.9,0,103
Boundless,crime,5.6,0,121
5lbs of Pressure,crime,5.3,0,111
Freedom,crime,5.9,0,110
Guns & Moses,crime,8.2,0,94
Sicilian Letters,crime,6.1,0,122
The Smile Man,crime,7.6,0,122
Ferry 2,crime,5.6,0,94
King Ivory,crime,7.2,0,130
The Park Maniac,crime,4.8,0,103
Wanted Man,crime,4.8,0,85
To a Land Unknown,crime,7.3,0,105
Hijack 1971,crime,6.8,0,100
Thalavan,crime,7.2,0,131
Shoutai,crime,6.9,0,120
Bloodline Killer,crime,3.8,0,105
Bhakshak,crime,7.2,0,134
Saripodhaa Sanivaaram,crime,7.0,0,166
The Clean Up Crew,crime,4.1,0,95
The Sabarmati Report,crime,6.4,0,127
Viduthalai Part 2,crime,8.0,0,170
Revolver,crime,5.4,0,114
Two to One,crime,6.1,0,116
Savi,crime,6.2,0,126
Ulajh,crime,6.0,0,150
Operation Raavan,crime,8.2,0,147
Anweshippin Kandethum,crime,7.4,0,142
Biggest Heist Ever,crime,6.1,0,85
Dead Wrong,crime,3.8,0,104
The Lockdown,crime,4.3,0,117
Vettaiyan,crime,7.0,0,163
Nice Girls,crime,4.2,0,92
Roadkill,crime,3.6,0,90
The Kingdom,crime,7.0,0,112
GTMax,crime,5.0,0,100
Dead Mail,crime,6.7,0,106
Strangers,crime,4.3,0,106
Maldoror,crime,7.1,0,155
Serpent's Path,crime,5.8,0,112
Mission: Cross,crime,6.1,0,105
Belle,crime,5.7,0,100
How to Rob a Bank,crime,6.6,0,88
Jailbreak: Love on the Run,crime,6.4,0,88
Toofan,crime,7.1,0,145
The Birds Who Fear Death,crime,9.3,0,102
Kingsmen,crime,6.3,0,72
Anand Sreebala,crime,6.6,0,134
Untamed Royals,crime,4.6,0,99
High Forces,crime,5.8,0,119
Last Known Location,crime,6.3,0,110
Bermondsey Tales: Fall of the Roman Empire,crime,4.4,0,99
They Called Him Mostly Harmless,crime,5.9,0,89
The Seven Sorrows of Mary,crime,6.7,0,98
In Youth We Trust,crime,7.0,0,132
Phir Aayi Hasseen Dillruba,crime,5.8,0,132
Hellhound,crime,4.3,0,103
A Gangster's Kiss,crime,4.9,0,81
Auron Mein Kahan Dum Tha,crime,6.6,0,150
The Shameless,crime,5.7,0,114
Borderless Fog,crime,5.2,0,110
The Girl Who Wore Yellow Lace,crime,4.6,0,82
Scorched Earth,crime,6.7,0,101
Dhakshina,crime,6.5,0,107
Abraham Ozler,crime,6.5,0,143
Visfot,crime,5.7,0,130
She's Got No Name,crime,7.0,0,150
Fyre Rises,crime,6.5,0,110
Mr. Bachchan,crime,3.6,0,150
Peg O' My Heart,crime,5.8,0,97
Crisis Negotiators,crime,6.7,0,120
The Truth vs. Alex Jones,crime,7.5,0,121
Diddy: Summit to Plummet,crime,2.2,0,60
Rakshana,crime,5.6,0,139
Baby Assassins: Nice Days,crime,7.3,0,103
Le Mohican,crime,7.0,0,87
Bangkok Dog,crime,6.3,0,85
Unspoken,crime,8.2,0,120
Sorgavaasal,crime,6.6,0,138
The Actor,crime,3.3,0,128
Tillu Square,crime,6.6,0,137
"MoviePass, MovieCrash",crime,6.7,0,96
Dirty Ice Cream,crime,4.5,0,0
Zebra,crime,8.0,0,164
Jersey Bred,crime,4.7,0,92
Untold: The Murder of Air McNair,crime,5.6,0,0
The Kingdom,crime,7.9,0,133
Un homme en fuite,crime,5.4,0,106
10 Days of a Curious Man,crime,5.8,0,110
Plastic Guns,crime,6.3,0,95
Nahir,crime,4.7,0,122
Lady Scorpions,crime,3.6,0,101
Ballistic,crime,2.3,0,95
(Pri)sons,crime,5.1,0,100
Nunakuzhi,crime,6.8,0,125
"Hemet, or the Landlady Don't Drink Tea",crime,4.4,0,89
Nefarious,crime,7.0,0,85
Killer Babes,crime,3.5,0,94
Conquer: Lahad Datu,crime,6.7,0,120
Siren,crime,6.4,0,154
ChiefsAholic: A Wolf in Chiefs Clothing,crime,6.2,0,121
Krista,crime,5.6,0,0
The Pee Pee Poo Poo Man,crime,8.4,0,79
Sayara,crime,5.7,0,98
Reloaded 2,crime,8.0,0,0
Abudeka Is Back,crime,5.3,0,120
Havnaa,crime,7.3,0,110
Kahar: Kapla High Council,crime,7.0,0,102
Bangkok Breaking: Heaven and Hell,crime,5.8,0,146
Estômago II: O Poderoso Chef,crime,5.8,0,131
Castillo,crime,8.1,0,128
Bozji gnjev,crime,7.2,0,111
9 Windows,crime,3.6,0,82
Silvio,crime,3.0,0,114
Murder and Cocktails,crime,4.0,0,88
The Waterboyz,crime,7.9,0,89
Desperado,crime,5.9,0,100
Andhagan,crime,6.7,0,142
No Cap,crime,5.8,0,108
Shakhahaari,crime,7.5,0,145
Drive,crime,5.7,0,90
The Mick and the Trick,crime,5.0,0,96
Love You to Debt,crime,6.2,0,135
Quotation Gang Part 1,crime,8.8,0,118
Red,crime,4.5,0,114
Plea,crime,6.9,0,88
Sheriff,crime,6.9,0,133
Suspect,crime,4.5,0,94
Kingdom Reign,crime,8.8,0,119
Hovering Blade,crime,6.1,0,107
"LSD 2: Love, Sex Aur Dhokha 2",crime,3.8,0,119
Loverboy: Emoties Uit,crime,6.4,0,98
Troll Factory,crime,5.8,0,109
Wieczór kawalerski,crime,4.8,0,85
Miséria,crime,5.3,0,99
Prepare to Die,crime,4.6,0,93
Chris Brown: A History of Violence,crime,5.4,0,82
The Infallibles,crime,4.8,0,99
Priyo Maloti,crime,6.8,0,119
Chameleon,crime,5.8,0,133
The Texas Cheerleader Murder Plot,crime,5.0,0,100
Bhaje Vaayu Vegam,crime,6.1,0,136
Dandupalayam,crime,5.9,0,137
Samandar,crime,7.6,0,172
Sentimentaaal,crime,5.8,0,135
Ghost Killer,crime,7.2,0,105
Vares X,crime,3.7,0,85
Amish Affair,crime,5.5,0,86
Silence 2: The Night Owl Bar Shootout,crime,6.2,0,142
Below the Rim,crime,5.0,0,89
Filthy Animals,crime,7.4,0,96
The Worst Man in London,crime,5.7,0,127
Saindhav,crime,5.0,0,138
Passages of Nexus,crime,6.3,0,108
Hunt the Wicked,crime,5.3,0,102
Guess Who,crime,4.8,0,93
Sattam En Kaiyil,crime,8.0,0,124
Vina: Before 7 Days,crime,5.4,0,100
Where Is Gilgamesh?,crime,9.0,0,90
Matka,crime,4.7,0,156
Vrutos,crime,8.2,0,100
RapeD,crime,7.0,0,105
Hustlers Take All,crime,5.5,0,106
Remedy,crime,4.1,0,82
Rautu Ka Raaz,crime,6.3,0,114
Shivam Bhaje,crime,7.9,0,121
Chor Dil,crime,7.4,0,135
Bastar: The Naxal Story,crime,6.4,0,124
Swing Bout,crime,8.7,0,90
"Rajagunj: Pooja, Sir",crime,6.4,0,115
Citizen of a Kind,crime,6.7,0,114
Texas Twister,crime,2.5,0,88
Kiyma: Orman Kanunlari,crime,4.3,0,81
The Final: Attack on Wembley,crime,6.3,0,82
Kaulayaw,crime,4.4,0,95
Green Bones,crime,7.7,0,96
Sons of Rizk 3,crime,6.7,0,125
Tòkunbò,crime,3.9,0,113
Remember Us,crime,6.2,0,96
Silver Star,crime,6.9,0,102
Case of Kondana,crime,5.8,0,143
The Shadow,crime,6.5,0,90
Bars,crime,5.8,0,135
The Desperate Chase,crime,5.5,0,110
Wannabe,crime,4.6,0,102
The Plot,crime,4.8,0,100
Bodiless,crime,5.7,0,90
Breaking the Silence: The Maria Soledad Case,crime,6.4,0,95
Dead Man,crime,5.1,0,109
Mathu Vadalara 2,crime,7.0,0,139
The Unwavering Brotherhood,crime,5.3,0,94
Kiss of the Con Queen,crime,8.0,0,117
Poslednji strelac,crime,5.5,0,90
Dream Team,crime,5.2,0,91
The Star City Murders,crime,4.1,0,79
The Moon Thieves,crime,6.2,0,108
Hit List,crime,5.5,0,125
Reputation,crime,9.3,0,83
Dirty Money,crime,5.7,0,100
S.I.T,crime,7.9,0,110
They Turned Us Into Killers,crime,2.8,0,86
Satyabhama,crime,5.9,0,132
Døde menn går på ski,crime,5.5,0,89
The Murder of Sandra Rivett,crime,6.2,0,90
Go for Broke,crime,5.7,0,115
Rob N Roll,crime,6.1,0,98
State of Silence,crime,6.5,0,80
Young Lion of the West,crime,8.1,0,93
Gold Boy,crime,6.5,0,129
Cry of Silence,crime,6.3,0,116
Svemu dodje kraj,crime,6.7,0,89
Kondal,crime,5.4,0,147
Searching for Amani,crime,8.0,0,80
The Shakedown,crime,5.0,0,104
Suspicion,crime,3.6,0,115
The Epidemic,crime,5.8,0,95
Modal Nekad,crime,7.7,0,107
Vivekam,crime,8.2,0,104
Haunting Trophies,crime,7.7,0,150
The Experts,crime,6.2,0,121
Cursed in Baja,crime,8.2,0,80
PT Sir,crime,6.8,0,130
Thirumbipaar,crime,5.9,0,101
The Donor,crime,9.0,0,0
Danger in the Dorm,crime,5.1,0,86
Formed Police Unit,crime,4.6,0,120
Nico,crime,8.3,0,109
Octopus with Broken Arms,crime,6.2,0,109
Io e te dobbiamo parlare,crime,4.2,0,95
Best Man Dead Man,crime,6.9,0,83
Tiger Wolf Rabbit,crime,6.2,0,126
Common Sense,crime,2.5,0,68
Martingale,crime,5.4,0,103
Yalakunni,crime,8.9,0,135
Vojna policajtov,crime,6.5,0,150
Nastupit leto,crime,7.4,0,94
Una ballena,crime,6.0,0,108
Pathological: The Lies of Joran van der Sloot,crime,6.5,0,93
La mort viendra,crime,6.0,0,101
Piano Love,crime,5.2,0,96
Killerwood,crime,6.8,0,84
Chithini,crime,6.0,0,151
Diari de la meva sextorsió,crime,6.5,0,64
Bury Him,crime,7.3,0,88
Routa,crime,6.5,0,127
Kaliyugam Pattanamlo,crime,6.7,0,150
Gam Gam Ganesha,crime,5.3,0,140
Holiday Hold-Up,crime,5.6,0,89
Brattt,crime,4.7,0,117
Nasha Jurm Aur Gangsters,crime,7.0,0,137
What Happens in Miami,crime,4.3,0,90
